real_eye_x,real_eye_y,real_eye_z,real_marker_x,real_marker_y,real_marker_z,timestamp
159.354,141.927,819.778,230,150,92.023,0.002
159.354,141.927,819.778,230,150,92.023,0.048
159.354,141.927,819.778,230,150,92.023,0.088
159.354,141.927,819.778,230,150,92.023,0.128
159.354,141.927,819.778,230,150,92.023,0.177
159.354,141.927,819.778,230,150,92.023,0.234
159.354,141.927,819.778,230,150,92.023,0.276
159.354,141.927,819.778,230,150,92.023,0.311
159.354,141.927,819.778,230,150,92.023,0.356
159.354,141.927,819.778,230,150,92.023,0.397
159.354,141.927,819.778,230,150,92.023,0.459
159.354,141.927,819.778,230,150,92.023,0.497
159.354,141.927,819.778,230,150,92.023,0.53
159.354,141.927,819.778,230,150,92.023,0.574
159.354,141.927,819.778,230,150,92.023,0.634
159.354,141.927,819.778,230,150,92.023,0.673
159.354,141.927,819.778,230,150,92.023,0.703
159.354,141.927,819.778,230,150,92.023,0.741
159.354,141.927,819.778,230,150,92.023,0.769
159.354,141.927,819.778,230,150,92.023,0.807
159.354,141.927,819.778,230,150,92.023,0.833
159.354,141.927,819.778,230,150,92.023,0.872
159.354,141.927,819.778,230,150,92.023,0.924
159.354,141.927,819.778,230,150,92.023,0.975
159.354,141.927,819.778,230,150,92.023,1.009
159.354,141.927,819.778,230,150,92.023,1.033
159.354,141.927,819.778,230,150,92.023,1.068
159.354,141.927,819.778,230,150,92.023,1.108
159.354,141.927,819.778,230,150,92.023,1.156
159.354,141.927,819.778,230,150,92.023,1.187
159.354,141.927,819.778,230,150,92.023,1.235
159.354,141.927,819.778,230,150,92.023,1.288
159.354,141.927,819.778,230,150,92.023,1.329
159.354,141.927,819.778,230,150,92.023,1.386
159.354,141.927,819.778,230,150,92.023,1.429
159.354,141.927,819.778,230,150,92.023,1.466
159.354,141.927,819.778,230,150,92.023,1.507
159.354,141.927,819.778,230,150,92.023,1.563
159.354,141.927,819.778,230,150,92.023,1.597
159.354,141.927,819.778,230,150,92.023,1.65
159.354,141.927,819.778,230,150,92.023,1.706
159.354,141.927,819.778,230,150,92.023,1.741
159.354,141.927,819.778,230,150,92.023,1.764
159.354,141.927,819.778,230,150,92.023,1.789
159.354,141.927,819.778,230,150,92.023,1.828
159.354,141.927,819.778,230,150,92.023,1.86
159.354,141.927,819.778,230,150,92.023,1.908
159.354,141.927,819.778,230,150,92.023,1.952
159.354,141.927,819.778,230,150,92.023,1.987
159.354,141.927,819.778,230,150,92.023,2.044
159.354,141.927,819.778,230,150,92.023,2.088
159.354,141.927,819.778,230,150,92.023,2.126
159.354,141.927,819.778,230,150,92.023,2.182
159.354,141.927,819.778,230,150,92.023,2.238
159.354,141.927,819.778,230,150,92.023,2.282
159.354,141.927,819.778,230,150,92.023,2.316
159.354,141.927,819.778,230,150,92.023,2.369
159.354,141.927,819.778,230,150,92.023,2.413
159.354,141.927,819.778,230,150,92.023,2.459
159.354,141.927,819.778,230,150,92.023,2.503
159.354,141.927,819.778,230,150,92.023,2.548
159.354,141.927,819.778,230,150,92.023,2.582
159.354,141.927,819.778,230,150,92.023,2.649
159.354,141.927,819.778,230,150,92.023,2.691
159.354,141.927,819.778,230,150,92.023,2.757
159.354,141.927,819.778,230,150,92.023,2.791
159.354,141.927,819.778,230,150,92.023,2.837
159.354,141.927,819.778,230,150,92.023,2.879
159.354,141.927,819.778,230,150,92.023,2.925
159.354,141.927,819.778,230,150,92.023,2.975
159.354,141.927,819.778,230,150,92.023,3.021
159.354,141.927,819.778,280,150,92.023,3.053
159.354,141.927,819.778,280,150,92.023,3.093
159.354,141.927,819.778,280,150,92.023,3.155
159.354,141.927,819.778,280,150,92.023,3.196
159.354,141.927,819.778,280,150,92.023,3.237
159.354,141.927,819.778,280,150,92.023,3.292
159.354,141.927,819.778,280,150,92.023,3.335
159.354,141.927,819.778,280,150,92.023,3.372
159.354,141.927,819.778,280,150,92.023,3.43
159.354,141.927,819.778,280,150,92.023,3.462
159.354,141.927,819.778,280,150,92.023,3.509
159.354,141.927,819.778,280,150,92.023,3.551
159.354,141.927,819.778,280,150,92.023,3.58
159.354,141.927,819.778,280,150,92.023,3.615
159.354,141.927,819.778,280,150,92.023,3.641
159.354,141.927,819.778,280,150,92.023,3.686
159.354,141.927,819.778,280,150,92.023,3.723
159.354,141.927,819.778,280,150,92.023,3.77
159.354,141.927,819.778,280,150,92.023,3.817
159.354,141.927,819.778,280,150,92.023,3.85
159.354,141.927,819.778,280,150,92.023,3.895
159.354,141.927,819.778,280,150,92.023,3.945
159.354,141.927,819.778,280,150,92.023,3.977
159.354,141.927,819.778,280,150,92.023,4.034
159.354,141.927,819.778,280,150,92.023,4.078
159.354,141.927,819.778,280,150,92.023,4.11
159.354,141.927,819.778,280,150,92.023,4.156
159.354,141.927,819.778,280,150,92.023,4.201
159.354,141.927,819.778,280,150,92.023,4.237
159.354,141.927,819.778,280,150,92.023,4.283
159.354,141.927,819.778,280,150,92.023,4.315
159.354,141.927,819.778,280,150,92.023,4.367
159.354,141.927,819.778,280,150,92.023,4.408
159.354,141.927,819.778,280,150,92.023,4.441
159.354,141.927,819.778,280,150,92.023,4.484
159.354,141.927,819.778,280,150,92.023,4.519
159.354,141.927,819.778,280,150,92.023,4.571
159.354,141.927,819.778,280,150,92.023,4.614
159.354,141.927,819.778,280,150,92.023,4.65
159.354,141.927,819.778,280,150,92.023,4.706
159.354,141.927,819.778,280,150,92.023,4.761
159.354,141.927,819.778,280,150,92.023,4.803
159.354,141.927,819.778,280,150,92.023,4.84
159.354,141.927,819.778,280,150,92.023,4.881
159.354,141.927,819.778,280,150,92.023,4.925
159.354,141.927,819.778,280,150,92.023,4.986
159.354,141.927,819.778,280,150,92.023,5.037
159.354,141.927,819.778,280,150,92.023,5.078
159.354,141.927,819.778,280,150,92.023,5.113
159.354,141.927,819.778,280,150,92.023,5.155
159.354,141.927,819.778,280,150,92.023,5.19
159.354,141.927,819.778,280,150,92.023,5.234
159.354,141.927,819.778,280,150,92.023,5.287
159.354,141.927,819.778,280,150,92.023,5.321
159.354,141.927,819.778,280,150,92.023,5.363
159.354,141.927,819.778,280,150,92.023,5.393
159.354,141.927,819.778,280,150,92.023,5.436
159.354,141.927,819.778,280,150,92.023,5.49
159.354,141.927,819.778,280,150,92.023,5.527
159.354,141.927,819.778,280,150,92.023,5.566
159.354,141.927,819.778,280,150,92.023,5.613
159.354,141.927,819.778,280,150,92.023,5.646
159.354,141.927,819.778,280,150,92.023,5.691
159.354,141.927,819.778,280,150,92.023,5.726
159.354,141.927,819.778,280,150,92.023,5.767
159.354,141.927,819.778,280,150,92.023,5.809
159.354,141.927,819.778,280,150,92.023,5.841
159.354,141.927,819.778,280,150,92.023,5.884
159.354,141.927,819.778,280,150,92.023,5.916
159.354,141.927,819.778,280,150,92.023,5.969
159.354,141.927,819.778,280,150,92.023,6.016
159.354,141.927,819.778,205,200,92.023,6.051
159.354,141.927,819.778,205,200,92.023,6.094
159.354,141.927,819.778,205,200,92.023,6.127
159.354,141.927,819.778,205,200,92.023,6.176
159.354,141.927,819.778,205,200,92.023,6.228
159.354,141.927,819.778,205,200,92.023,6.263
159.354,141.927,819.778,205,200,92.023,6.306
159.354,141.927,819.778,205,200,92.023,6.35
159.354,141.927,819.778,205,200,92.023,6.392
159.354,141.927,819.778,205,200,92.023,6.451
159.354,141.927,819.778,205,200,92.023,6.493
159.354,141.927,819.778,205,200,92.023,6.521
159.354,141.927,819.778,205,200,92.023,6.559
159.354,141.927,819.778,205,200,92.023,6.608
159.354,141.927,819.778,205,200,92.023,6.659
159.354,141.927,819.778,205,200,92.023,6.719
