real_eye_x,real_eye_y,real_eye_z,real_marker_x,real_marker_y,real_marker_z,timestamp
159.354,141.927,819.778,180,200,92.023,-0.001
159.354,141.927,819.778,180,200,92.023,0.033
159.354,141.927,819.778,180,200,92.023,0.089
159.354,141.927,819.778,180,200,92.023,0.136
159.354,141.927,819.778,180,200,92.023,0.173
159.354,141.927,819.778,180,200,92.023,0.219
159.354,141.927,819.778,180,200,92.023,0.263
159.354,141.927,819.778,180,200,92.023,0.295
159.354,141.927,819.778,180,200,92.023,0.335
159.354,141.927,819.778,180,200,92.023,0.38
159.354,141.927,819.778,180,200,92.023,0.416
159.354,141.927,819.778,180,200,92.023,0.476
159.354,141.927,819.778,180,200,92.023,0.511
159.354,141.927,819.778,180,200,92.023,0.563
159.354,141.927,819.778,180,200,92.023,0.604
159.354,141.927,819.778,180,200,92.023,0.655
159.354,141.927,819.778,180,200,92.023,0.688
159.354,141.927,819.778,180,200,92.023,0.728
159.354,141.927,819.778,180,200,92.023,0.766
159.354,141.927,819.778,180,200,92.023,0.81
159.354,141.927,819.778,180,200,92.023,0.841
159.354,141.927,819.778,180,200,92.023,0.875
159.354,141.927,819.778,180,200,92.023,0.907
159.354,141.927,819.778,180,200,92.023,0.946
159.354,141.927,819.778,180,200,92.023,0.989
159.354,141.927,819.778,180,200,92.023,1.035
159.354,141.927,819.778,180,200,92.023,1.08
159.354,141.927,819.778,180,200,92.023,1.133
159.354,141.927,819.778,180,200,92.023,1.176
159.354,141.927,819.778,180,200,92.023,1.22
159.354,141.927,819.778,180,200,92.023,1.259
159.354,141.927,819.778,180,200,92.023,1.282
159.354,141.927,819.778,180,200,92.023,1.314
159.354,141.927,819.778,180,200,92.023,1.353
159.354,141.927,819.778,180,200,92.023,1.398
159.354,141.927,819.778,180,200,92.023,1.435
159.354,141.927,819.778,180,200,92.023,1.48
159.354,141.927,819.778,180,200,92.023,1.526
159.354,141.927,819.778,180,200,92.023,1.57
159.354,141.927,819.778,180,200,92.023,1.614
159.354,141.927,819.778,180,200,92.023,1.657
159.354,141.927,819.778,180,200,92.023,1.691
159.354,141.927,819.778,180,200,92.023,1.746
159.354,141.927,819.778,180,200,92.023,1.791
159.354,141.927,819.778,180,200,92.023,1.84
159.354,141.927,819.778,180,200,92.023,1.895
159.354,141.927,819.778,180,200,92.023,1.937
159.354,141.927,819.778,180,200,92.023,1.976
159.354,141.927,819.778,180,200,92.023,2.017
159.354,141.927,819.778,180,200,92.023,2.061
159.354,141.927,819.778,180,200,92.023,2.11
159.354,141.927,819.778,180,200,92.023,2.148
159.354,141.927,819.778,180,200,92.023,2.191
159.354,141.927,819.778,180,200,92.023,2.225
159.354,141.927,819.778,180,200,92.023,2.268
159.354,141.927,819.778,180,200,92.023,2.3
159.354,141.927,819.778,180,200,92.023,2.344
159.354,141.927,819.778,180,200,92.023,2.398
159.354,141.927,819.778,180,200,92.023,2.448
159.354,141.927,819.778,180,200,92.023,2.489
159.354,141.927,819.778,180,200,92.023,2.531
159.354,141.927,819.778,180,200,92.023,2.568
159.354,141.927,819.778,180,200,92.023,2.63
159.354,141.927,819.778,180,200,92.023,2.674
159.354,141.927,819.778,180,200,92.023,2.719
159.354,141.927,819.778,180,200,92.023,2.768
159.354,141.927,819.778,180,200,92.023,2.813
159.354,141.927,819.778,180,200,92.023,2.854
159.354,141.927,819.778,180,200,92.023,2.886
159.354,141.927,819.778,180,200,92.023,2.928
159.354,141.927,819.778,180,200,92.023,2.961
159.354,141.927,819.778,180,200,92.023,3.005
159.354,141.927,819.778,255,150,92.023,3.041
159.354,141.927,819.778,255,150,92.023,3.086
159.354,141.927,819.778,255,150,92.023,3.14
159.354,141.927,819.778,255,150,92.023,3.175
159.354,141.927,819.778,255,150,92.023,3.222
159.354,141.927,819.778,255,150,92.023,3.264
159.354,141.927,819.778,255,150,92.023,3.296
159.354,141.927,819.778,255,150,92.023,3.338
159.354,141.927,819.778,255,150,92.023,3.375
159.354,141.927,819.778,255,150,92.023,3.417
159.354,141.927,819.778,255,150,92.023,3.46
159.354,141.927,819.778,255,150,92.023,3.489
159.354,141.927,819.778,255,150,92.023,3.523
159.354,141.927,819.778,255,150,92.023,3.549
159.354,141.927,819.778,255,150,92.023,3.577
159.354,141.927,819.778,255,150,92.023,3.61
159.354,141.927,819.778,255,150,92.023,3.646
159.354,141.927,819.778,255,150,92.023,3.684
159.354,141.927,819.778,255,150,92.023,3.73
159.354,141.927,819.778,255,150,92.023,3.775
159.354,141.927,819.778,255,150,92.023,3.816
159.354,141.927,819.778,255,150,92.023,3.865
159.354,141.927,819.778,255,150,92.023,3.895
159.354,141.927,819.778,255,150,92.023,3.936
159.354,141.927,819.778,255,150,92.023,3.961
159.354,141.927,819.778,255,150,92.023,3.993
159.354,141.927,819.778,255,150,92.023,4.022
159.354,141.927,819.778,255,150,92.023,4.058
159.354,141.927,819.778,255,150,92.023,4.094
159.354,141.927,819.778,255,150,92.023,4.14
159.354,141.927,819.778,255,150,92.023,4.185
159.354,141.927,819.778,255,150,92.023,4.232
159.354,141.927,819.778,255,150,92.023,4.273
159.354,141.927,819.778,255,150,92.023,4.31
159.354,141.927,819.778,255,150,92.023,4.362
159.354,141.927,819.778,255,150,92.023,4.407
159.354,141.927,819.778,255,150,92.023,4.448
159.354,141.927,819.778,255,150,92.023,4.484
159.354,141.927,819.778,255,150,92.023,4.531
159.354,141.927,819.778,255,150,92.023,4.563
159.354,141.927,819.778,255,150,92.023,4.608
159.354,141.927,819.778,255,150,92.023,4.639
159.354,141.927,819.778,255,150,92.023,4.681
159.354,141.927,819.778,255,150,92.023,4.725
159.354,141.927,819.778,255,150,92.023,4.758
159.354,141.927,819.778,255,150,92.023,4.813
159.354,141.927,819.778,255,150,92.023,4.865
159.354,141.927,819.778,255,150,92.023,4.898
159.354,141.927,819.778,255,150,92.023,4.94
159.354,141.927,819.778,255,150,92.023,4.983
159.354,141.927,819.778,255,150,92.023,5.018
159.354,141.927,819.778,255,150,92.023,5.063
159.354,141.927,819.778,255,150,92.023,5.104
159.354,141.927,819.778,255,150,92.023,5.146
159.354,141.927,819.778,255,150,92.023,5.202
159.354,141.927,819.778,255,150,92.023,5.238
159.354,141.927,819.778,255,150,92.023,5.282
159.354,141.927,819.778,255,150,92.023,5.325
159.354,141.927,819.778,255,150,92.023,5.357
159.354,141.927,819.778,255,150,92.023,5.402
159.354,141.927,819.778,255,150,92.023,5.44
159.354,141.927,819.778,255,150,92.023,5.483
159.354,141.927,819.778,255,150,92.023,5.523
159.354,141.927,819.778,255,150,92.023,5.558
159.354,141.927,819.778,255,150,92.023,5.599
159.354,141.927,819.778,255,150,92.023,5.636
159.354,141.927,819.778,255,150,92.023,5.679
159.354,141.927,819.778,255,150,92.023,5.732
159.354,141.927,819.778,255,150,92.023,5.762
159.354,141.927,819.778,255,150,92.023,5.8
159.354,141.927,819.778,255,150,92.023,5.83
159.354,141.927,819.778,255,150,92.023,5.869
159.354,141.927,819.778,255,150,92.023,5.901
159.354,141.927,819.778,255,150,92.023,5.959
159.354,141.927,819.778,255,150,92.023,6.015
159.354,141.927,819.778,255,100,92.023,6.063
159.354,141.927,819.778,255,100,92.023,6.115
159.354,141.927,819.778,255,100,92.023,6.164
159.354,141.927,819.778,255,100,92.023,6.214
159.354,141.927,819.778,255,100,92.023,6.257
159.354,141.927,819.778,255,100,92.023,6.29
159.354,141.927,819.778,255,100,92.023,6.331
159.354,141.927,819.778,255,100,92.023,6.368
159.354,141.927,819.778,255,100,92.023,6.422
159.354,141.927,819.778,255,100,92.023,6.465
159.354,141.927,819.778,255,100,92.023,6.492
159.354,141.927,819.778,255,100,92.023,6.525
159.354,141.927,819.778,255,100,92.023,6.553
159.354,141.927,819.778,255,100,92.023,6.585
159.354,141.927,819.778,255,100,92.023,6.61
159.354,141.927,819.778,255,100,92.023,6.657
159.354,141.927,819.778,255,100,92.023,6.691
159.354,141.927,819.778,255,100,92.023,6.734
159.354,141.927,819.778,255,100,92.023,6.773
159.354,141.927,819.778,255,100,92.023,6.817
159.354,141.927,819.778,255,100,92.023,6.867
159.354,141.927,819.778,255,100,92.023,6.901
159.354,141.927,819.778,255,100,92.023,6.944
159.354,141.927,819.778,255,100,92.023,7.002
159.354,141.927,819.778,255,100,92.023,7.036
159.354,141.927,819.778,255,100,92.023,7.088
159.354,141.927,819.778,255,100,92.023,7.13
159.354,141.927,819.778,255,100,92.023,7.164
159.354,141.927,819.778,255,100,92.023,7.221
159.354,141.927,819.778,255,100,92.023,7.268
159.354,141.927,819.778,255,100,92.023,7.304
159.354,141.927,819.778,255,100,92.023,7.35
159.354,141.927,819.778,255,100,92.023,7.395
159.354,141.927,819.778,255,100,92.023,7.432
159.354,141.927,819.778,255,100,92.023,7.477
159.354,141.927,819.778,255,100,92.023,7.515
159.354,141.927,819.778,255,100,92.023,7.555
159.354,141.927,819.778,255,100,92.023,7.612
159.354,141.927,819.778,255,100,92.023,7.664
159.354,141.927,819.778,255,100,92.023,7.71
159.354,141.927,819.778,255,100,92.023,7.751
159.354,141.927,819.778,255,100,92.023,7.809
159.354,141.927,819.778,255,100,92.023,7.84
159.354,141.927,819.778,255,100,92.023,7.881
159.354,141.927,819.778,255,100,92.023,7.924
159.354,141.927,819.778,255,100,92.023,7.978
159.354,141.927,819.778,255,100,92.023,8.017
159.354,141.927,819.778,255,100,92.023,8.061
159.354,141.927,819.778,255,100,92.023,8.093
159.354,141.927,819.778,255,100,92.023,8.137
159.354,141.927,819.778,255,100,92.023,8.169
159.354,141.927,819.778,255,100,92.023,8.211
159.354,141.927,819.778,255,100,92.023,8.262
159.354,141.927,819.778,255,100,92.023,8.306
159.354,141.927,819.778,255,100,92.023,8.36
159.354,141.927,819.778,255,100,92.023,8.405
159.354,141.927,819.778,255,100,92.023,8.446
159.354,141.927,819.778,255,100,92.023,8.485
159.354,141.927,819.778,255,100,92.023,8.532
159.354,141.927,819.778,255,100,92.023,8.564
159.354,141.927,819.778,255,100,92.023,8.603
159.354,141.927,819.778,255,100,92.023,8.636
159.354,141.927,819.778,255,100,92.023,8.679
159.354,141.927,819.778,255,100,92.023,8.725
159.354,141.927,819.778,255,100,92.023,8.766
